index,key,term_type,Key [],Description [],English [en],Russian [ru],Chinese (Simplified) [zh-CN],French [fr],German [de],Spanish [es],Brazil [pt-BR],Chinese (Traditional) [zh-TW],Korean [ko],Polish [pl],Japanese [ja]
4718,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4719,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4720,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4721,UI/HintIsolator,0,UI/HintIsolator,,"The number of experiments
determines the effectiveness of city operations.","От количества экспериментов
зависит эффективность городских операций","实验数量
决定城市行动的效率。","Le nombre d'expériences
détermine l'efficacité des opérations de la ville.","Die Anzahl der Experimente
bestimmt die Effektivität der Stadteinsätze.","El número de experimentos
determina la eficacia de las operaciones en la ciudad.","O número de experimentos
determina a eficácia das operações da cidade.","實驗數量
決定城市行動的效率。",,"Liczba doświadczeń
decyduje o skuteczności operacji miejskich.","実験の数によって
都市の運営効率が決まる。"
4722,UI/HintCity,0,UI/HintCity,,Select one pathogen and maximize its percentage.,Выберите один патоген и максимизируйте его процент,选择一种病原体，并将其百分比最大化。,Sélectionnez un agent pathogène et maximisez son pourcentage.,Wähle einen Erreger aus und maximiere seinen Prozentsatz.,Selecciona un patógeno y maximiza su porcentaje.,Selecione um patógeno e maximize sua porcentagem.,選擇一種病原體，並將其百分比最大化。,,Wybierz jeden patogen i zmaksymalizuj jego procent.,病原体を1つ選択し、その割合を最大化しよう。
4723,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4724,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4725,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4726,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4727,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4728,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4729,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4730,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4731,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4732,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4733,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4734,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4735,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4736,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4737,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4738,Dialogue/Conversation/171/Entry/1/Dialogue Text,0,Dialogue/Conversation/171/Entry/1/Dialogue Text,Идеальный прокол,Noice!,Чотко,不错！,Chouette !,Super!,¡Genial!,Boa!,不錯！,,Grubo!,いいね！
4739,Hints/Tutor_098.1,0,Hints/Tutor_098.1,,This fingerprint does not belong to the visitor. Please take action according to the instructions.,Этот отпечаток не принадлежит посетителю. Прими меры в соответствии с инструкцией.,该指纹不属于该访客。请依照指令采取行动。,Cette empreinte n’est pas celle du visiteur. Veuillez prendre les mesures imposées par les instructions.,Dieser Fingerabdruck stammt nicht vom Besucher. Folge den Anweisungen.,Esta huella dactilar no pertenece al visitante. Recuerde seguir las instrucciones.,"Essa impressão digital não é do visitante. Por favor, aja conforme as instruções.",該指紋不屬於該訪客。請依照指令採取行動。,이 지문은 방문객의 것이 아닙니다. 지침에 따라 조치를 취하세요.,Ten odcisk palca nie należy do odwiedzającego. Podejmij działanie według instrukcji.,この指紋は訪問者のものではない。指示に従って対処しよう。
4740,NewsAndReports/ResearchProgressHeader,0,NewsAndReports/ResearchProgressHeader,,The data obtained during the experiment allowed us to progress towards a solution to the current issue:,Полученные в ходе проведенного эксперимента данные позволили продвинуться в поисках решения текущей проблемы:,实验获取的数据推动我们向解决当前难题更进一步：,Les données recueillies au cours de l’expérience nous ont permis de progresser vers une solution au problème :,"Die im Rahmen des Experiments gewonnenen Daten ermöglichten es uns, der Lösung des aktuellen Problems einen Schritt näher zu kommen:",Los datos obtenidos durante el experimento nos permitieron avanzar hacia una solución al problema actual:,Os dados obtidos durante o experimento nos permitiram encontrar uma solução para o problema atual:,實驗獲取的資料推動我們向解決目前難題更進一步：,,Dane zebrane podczas doświadczenia pozwoliły nam zbliżyć się do rozwiązania obecnego problemu:,実験中に得られたデータにより、現在発生している問題の解決に向けての進展があった：
4741,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4742,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4743,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4744,UI/SavesGraphHint,0,UI/SavesGraphHint,,Tip: This is the best day to choose a different solution to a problem. The ending you receive is determined by the solution with the highest percentage in city operations.,"Совет: этот день гарантированно подходит, чтобы выбрать другой способ решения проблемы. Полученная концовка определяется способом решения с наибольшим % в городских операциях.",提示：今天适合为某个问题选择不同的解决方案。你最终达成的结局，由城市行动中占百分比最高的方案所决定。,Astuce : c’est le jour idéal pour choisir une solution différente à un problème. La fin qui vous est proposée dépend de la solution qui recueille le plus grand pourcentage dans le cadre des opérations municipales.,"Tipp: Heute ist der ideale Tag, um ein Problem von einer anderen Seite her anzugehen. Das Ergebnis hängt von der Lösung ab, die bei den Stadteinsätzen den höchsten Prozentsatz aufweist.",Consejo: Este es el mejor día para elegir una solución diferente a un problema. El final que consigues se determina según la solución con el mayor porcentaje en las operaciones de la ciudad.,Dica: este é o melhor dia para escolher uma solução diferente para um problema. O final recebido é determinado pela solução com maior percentual das operações da cidade.,提示：今天適合為某個問題選擇不同的解決方案。你最終達成的結局，由城市行動中占百分比最高的方案所決定。,팁: 오늘은 문제를 해결하기 위해 다른 방법을 선택하기 가장 좋은 날입니다. 도달하는 엔딩은 도시 운영에서 가장 높은 %를 차지한 해결 방법에 따라 결정됩니다.,"Wskazówka: To jest najlepszy dzień, żeby wybrać inne rozwiązanie problemu. Twoje zakończenie zależy od rozwiązania z najwyższym odsetkiem operacji miejskich.",ヒント：今日は1つの問題の異なる解決策を選択する絶好のチャンスだ。都市運営において最も達成率が高い解決策によってエンディングは定められる。
4745,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4746,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4747,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4748,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4749,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4750,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4751,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4752,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4753,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4754,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4755,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4756,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4757,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4758,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4759,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4760,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4761,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4762,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4763,UI/DiffChoice,0,UI/DiffChoice,,Select difficulty:,Выберите сложность:,选择难度：,Choisissez la difficulté :,Schwierigkeit wählen:,Selecciona la dificultad:,Selecione a dificuldade:,選擇難度：,,Wybierz poziom trudności:,難易度を選択：
4764,UI/DiffEasy,0,UI/DiffEasy,,Easy,Легко,简单,Facile,Leicht,Fácil,Fácil,簡單,,Łatwy,イージー
4765,UI/DiffNormal,0,UI/DiffNormal,,Normal,Нормально,普通,Normal,Normal,Normal,Normal,普通,,Normalny,ノーマル
4766,UI/DiffHard,0,UI/DiffHard,,Hard,Сложно,困难,Difficile,Schwer,Difícil,Difícil,困難,,Trudny,ハード
4767,UI/DiffEasyTooltip,0,UI/DiffEasyTooltip,,"For those who want to play at their own pace:
- Timer off
- Reduced penalties for mistakes","Для тех, кто хочет играть в своём темпе:
- Таймер отключен
- Штрафы за ошибки снижены","适合想要按自己节奏游玩的玩家：
- 关闭计时器
- 降低失误惩罚","Pour ceux qui veulent jouer à leur rythme :
- Minuteur désactivé
- Pénalités réduites en cas d’erreur","Für alle, die in ihrem eigenen Tempo spielen wollen:
- Timer aus
- Geringere Strafen für Fehler","Para quienes quieran jugar a su propio ritmo:
- Temporizador desactivado
- Penalizaciones reducidas por errores","Para quem quer jogar no seu próprio ritmo:
- Cronômetro desativado
- Penalidades por erros reduzidas","適合想要按自己節奏遊玩的玩家：
- 關閉計時器
- 降低失誤懲罰",,"Dla tych, którzy chcą grać we własnym tempie:
- Licznik czasu wyłączony
- Zmniejszone kary za błędy","自分のペースで遊びたい人のために：
- タイマーは無し
- 間違えたときにペナルティは少なめ"
4768,UI/DiffNormalTooltip,0,UI/DiffNormalTooltip,,"The standard experience:
- Timer on, but with plenty of time
- Standard penalties for mistakes","Стандартный режим:
- Таймер включен, но времени достаточно
- Стандартные штрафы за ошибки","标准游戏体验：
- 开启计时器，但时间很充裕
- 标准失误惩罚","Le mode de jeu standard :
- Minuteur activé, mais le temps imparti reste confortable
- Pénalités standard en cas d’erreur","Der Standardmodus:
- Timer an, aber mit reichlich Zeit
- Standardstrafen für Fehler","La experiencia estándar:
- Temporizador activado, pero con tiempo de sobra
- Penalizaciones estándar por errores","A experiência padrão:
- Cronômetro ativado, mas com tempo de sobra
- Penalidades padrão por erros","標準遊戲體驗：
- 開啟計時器，但時間很充裕
- 標準失誤懲罰",,"Standardowa rozgrywka:
- Licznik czasu włączony, ale czasu jest dużo
- Standardowe kary za błędy","通常のプレイ経験：
- タイマーはあるが、時間に余裕はある
- 間違えたときのペナルティは通常通り"
4769,UI/DiffHardTooltip,0,UI/DiffHardTooltip,,"For those who don't get enough challenge in real life:
- Timer sped up
- Significantly higher penalties for mistakes (including sanity loss)","Если в жизни не хватает вызова:
- Таймер ускорен
- Штрафы за ошибки (включая потерю рассудка) значительно выше","适合觉得现实生活不够有挑战的玩家：
- 计时器速度加快
- 失误惩罚大幅提升（包括理智值损失）","Pour ceux qui ne trouvent pas la vie assez difficile :
- Minuteur accéléré
- Pénalités nettement plus lourdes en cas d’erreur (perte de santé mentale comprise)","Für alle, denen es im Leben an Herausforderungen fehlt:
- Schnellerer Timer
- Deutlich höhere Strafen für Fehler (einschließlich Verlust der geistigen Gesundheit)","Para quienes no tengan suficientes retos en la vida real:
- Temporizador acelerado
- Penalizaciones mucho más altas por errores (incluida la pérdida de cordura)","Para quem não tem desafio suficiente na vida real:
- Cronômetro acelerado
- Penalidades por erros bem mais altas (incluindo perda de sanidade)","適合覺得現實生活不夠有挑戰的玩家：
- 計時器速度加快
- 失誤懲罰大幅提升（包括理智值損失）",,"Dla tych, którym w życiu brakuje wyzwań:
- Licznik czasu przyspieszony
- Znacznie wyższe kary za błędy (w tym utrata poczytalności)","実生活でのチャレンジが足りない人のために：
- タイマーは加速する
- 間違えたときのペナルティはシビアになる（正気度を失うこともある）"
4770,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4771,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4772,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4773,UI/DiffWarning,0,UI/DiffWarning,,"Difficulty cannot be changed once the game has started. To change it, you'll have to start a new game.
Are you absolutely sure?","В процессе игры сложность изменить нельзя. Для изменения сложности потребуется начать новую игру.
Вы точно уверены в своём выборе?","游戏开始后无法更改难度。如需更换难度，必须开启新游戏。
你确定要继续吗？","La difficulté ne peut plus être modifiée une fois la partie commencée. Pour la changer, il faudra commencer une nouvelle partie.
Êtes-vous absolument sûr(e) de votre choix ?","Die Schwierigkeit lässt sich nach dem Spielstart nicht mehr ändern. Dafür musst du ein neues Spiel beginnen.
Bist du dir ganz sicher?","La dificultad no se puede cambiar una vez empezada la partida. Para cambiarla, tendrás que empezar una partida nueva.
¿Estás completamente seguro?","A dificuldade não pode ser alterada depois que o jogo começa. Para mudá-la, você terá que iniciar um novo jogo.
Tem certeza absoluta da sua escolha?","遊戲開始後無法更改難度。如需更換難度，必須開啟新遊戲。
你確定要繼續嗎？",,"Po rozpoczęciu gry nie można już zmienić poziomu trudności. Żeby go zmienić, trzeba rozpocząć nową grę.
Czy jesteś całkowicie pewien swojego wyboru?","ゲームを開始した後は難易度は変更できない。 変える場合は新しいゲームで最初からやり直しとなる。
本当にこれでいいのか？"
4774,NewsAndReports/StrangeNoteTest1,0,NewsAndReports/StrangeNoteTest1,,#N/A,"Привет, Семён. Я знаю, что ты это читаешь. МВАХАХАХАХА",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4775,NewsAndReports/StrangeNoteTest2,0,NewsAndReports/StrangeNoteTest2,,#N/A,"Ингредиенты на 2 порции
9% творог – 200 г
сахар – 1 ст. л.
ванильный сахар – ½ ч. л.
соль – на кончике ножа
яйцо – 1 шт.
мука – 2 ст. л. с горкой + 2-4 ст. л. для раскатывания теста и панировки сырников
растительное масло – 2 ст. л.
сливочное масло – 25 г",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4776,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,0,,,,,,,,,,,,,
4777,Правила /Для Японского транслитерация катаканой,0,,,,,,,,,,,,,
4778,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",0,,,,,,,,,,,,,
4779,UI/HelpTooltip,0,UI/HelpTooltip,,Help,Помощь,帮助,Aide,Hilfe,Ayuda,Ajuda,幫助,,Pomoc,ヘルプ
4780,UI/HelpIsolator,0,UI/HelpIsolator,,"The isolation ward is where you run experiments that advance your research into the anomalies. An experiment takes one day.
Current progress is shown on the bars in the bottom right corner of the screen.
The further your research into an anomaly progresses, the more city operations you unlock that use that anomaly to solve the problem.
Experiments vary in how effectively they advance research into each anomaly. The only way to find out is by scientific trial and error.
In some cases, a large concentration of anomalies of the same type combined with a particular experiment can lead to unforeseen consequences that set off the alarm in the isolation ward.
If the alarm goes off, the isolation ward is closed to you for one day.
The experiments you run also affect the subjects' mood. A subject under severe stress may take their own life or trigger a large-scale event that sets off the alarm.
The isolation ward's capacity is limited. You can increase it with upgrades bought at the end of a shift.
Any character held in the isolation ward can be released or eliminated. To do so, select them and press the corresponding button.
You can also purge the isolation ward entirely with the red button in the bottom left corner of the screen.","Изолятор необходим для проведения экспериментов, благодаря которым увеличивается прогресс изучения аномалий. Эксперимент длится в течение одного дня.
Текущий прогресс можно увидеть на шкалах в правом нижнем углу экрана.
Чем выше прогресс исследования аномалии, тем больше городских операций, увеличивающих прогресс решения проблемы с помощью данной аномалии, будет доступно.
Различные эксперименты влияют на прогресс тех или иных аномалий с различной эффективностью. Узнать, как именно, можно лишь научным методом проб и ошибок.
В некоторых случаях большое скопление аномалий одного типа в сочетании с определенным экспериментом приводит к непредвиденным последствиям, в результате которых в изоляторе объявляется тревога.
Если в изоляторе объявлена тревога, то он будет недоступен для взаимодействия в течение одного дня.
Проводимые эксперименты меняют настроение испытуемых. Если испытуемый в состоянии сильного стресса, то он может покончить с собой или же спровоцировать масштабное событие с объявлением тревоги.
Вместимость изолятора ограничена. Она может быть увеличена при помощи улучшений, которые можно приобрести в конце смены.
Любого персонажа, находящегося в изоляторе, можно выпустить или же устранить. Для этого необходимо выбрать его и нажать на соответствующую кнопку. 
Также изолятор можно полностью зачистить при помощи красной кнопки в левом нижнем углу экрана.","隔离病房是你进行实验的地方，通过实验推进你对异常的研究。一次实验需要一天时间。
当前研究进度显示在屏幕右下角的进度条上。
你对某类异常的研究进展越深入，解锁可利用该异常解决危机的城市行动就越多。
不同实验对各类异常的研究推进效率各不相同，只能依靠科学试错来探明。
在某些情况下，大量同类型异常集中在一起，再加上特定实验，可能导致不可预见的后果，触发隔离病房的警报。
警报触发后，隔离病房将封锁一天，无法使用。
你所进行的实验也会影响受试者的情绪。处于严重压力下的受试者可能会自杀或引发大规模事件，触发警报。
隔离病房容量有限，可以在轮班结束后购买升级来扩容。
隔离病房内的任何对象都可以释放或处决。选中目标后按下对应按钮即可。
你也可以点击屏幕左下角红色按钮，清空整个隔离病房。","Le quartier d’isolement est l’endroit où vous menez les expériences qui font progresser vos recherches sur les anomalies. Une expérience dure une journée.
La progression actuelle est indiquée par les jauges situées en bas à droite de l’écran.
Plus vos recherches sur une anomalie progressent, plus vous débloquez d’opérations urbaines qui utilisent cette anomalie pour résoudre le problème.
Les expériences n’ont pas toutes la même efficacité selon l’anomalie étudiée. Le seul moyen de le découvrir, c’est la méthode scientifique par essais et erreurs.
Dans certains cas, une forte concentration d’anomalies du même type associée à une expérience particulière peut avoir des conséquences imprévues qui déclenchent l’alarme dans le quartier d’isolement.
Si l’alarme se déclenche, le quartier d’isolement vous est inaccessible pendant une journée.
Les expériences que vous menez influent également sur l’humeur des sujets. Un sujet soumis à un stress intense peut mettre fin à ses jours ou provoquer un événement de grande ampleur qui déclenche l’alarme.
La capacité du quartier d’isolement est limitée. Vous pouvez l’augmenter grâce à des améliorations achetées à la fin d’un service.
Tout personnage détenu dans le quartier d’isolement peut être relâché ou éliminé. Pour cela, sélectionnez-le et appuyez sur le bouton correspondant.
Vous pouvez également purger entièrement le quartier d’isolement à l’aide du bouton rouge situé en bas à gauche de l’écran.","Auf der Isolierstation führst du Experimente durch, mit denen du die Erforschung der Anomalien vorantreibst. Ein Experiment dauert einen Tag.
Den aktuellen Fortschritt siehst du an den Anzeigen unten rechts auf dem Bildschirm.
Je weiter die Erforschung einer Anomalie fortgeschritten ist, desto mehr Stadteinsätze stehen dir zur Verfügung, die das Problem mit Hilfe dieser Anomalie lösen.
Die verschiedenen Experimente treiben die Erforschung der einzelnen Anomalien mit unterschiedlichem Erfolg voran. Wie genau, findest du nur auf wissenschaftlichem Wege heraus: durch Versuch und Irrtum.
In manchen Fällen führt eine große Ansammlung von Anomalien derselben Art in Verbindung mit einem bestimmten Experiment zu unvorhergesehenen Folgen – und auf der Isolierstation wird Alarm ausgelöst.
Wurde auf der Isolierstation Alarm ausgelöst, ist sie einen Tag lang nicht zugänglich.
Die durchgeführten Experimente verändern außerdem die Stimmung der Testpersonen. Steht eine Testperson unter starkem Stress, kann sie sich das Leben nehmen oder ein großes Ereignis auslösen, das Alarm nach sich zieht.
Die Kapazität der Isolierstation ist begrenzt. Du kannst sie mit Upgrades erweitern, die du am Ende einer Schicht kaufst.
Jede Person auf der Isolierstation kann entlassen oder beseitigt werden. Wähle sie dazu aus und drücke die entsprechende Taste.
Mit der roten Taste unten links auf dem Bildschirm kannst du die Isolierstation außerdem vollständig säubern.","El área de aislamiento es donde llevas a cabo los experimentos que hacen avanzar tu investigación de las anomalías. Un experimento dura un día.
El progreso actual se muestra en las barras de la esquina inferior derecha de la pantalla.
Cuanto más avance tu investigación de una anomalía, más operaciones en la ciudad desbloquearás para usar esa anomalía y resolver el problema.
Los experimentos no hacen avanzar con la misma eficacia la investigación de cada anomalía. La única forma de averiguarlo es el método científico de prueba y error.
En algunos casos, una gran concentración de anomalías del mismo tipo combinada con un experimento concreto puede provocar consecuencias imprevistas que hacen saltar la alarma en el área de aislamiento.
Si salta la alarma, el área de aislamiento queda cerrada para ti durante un día.
Los experimentos que realizas también afectan al estado de ánimo de los sujetos. Un sujeto sometido a mucho estrés puede quitarse la vida o desencadenar un incidente a gran escala que haga saltar la alarma.
La capacidad del área de aislamiento es limitada. Puedes ampliarla con las mejoras que se compran al final del turno.
Puedes soltar o eliminar a cualquier personaje retenido en el área de aislamiento. Para ello, selecciónalo y pulsa el botón correspondiente.
También puedes purgar el área de aislamiento por completo con el botón rojo de la esquina inferior izquierda de la pantalla.","A ala de isolamento é onde você realiza os experimentos que fazem avançar sua pesquisa sobre as anomalias. Um experimento leva um dia.
O progresso atual é exibido nas barras no canto inferior direito da tela.
Quanto mais avança a pesquisa sobre uma anomalia, mais operações da cidade você libera para usar essa anomalia na solução do problema.
Os experimentos variam na eficácia com que fazem avançar a pesquisa de cada anomalia. O único jeito de descobrir é pelo método científico da tentativa e erro.
Em alguns casos, uma grande concentração de anomalias do mesmo tipo combinada com um experimento específico gera consequências imprevistas que disparam o alarme na ala de isolamento.
Se o alarme soar, a ala de isolamento fica indisponível para você por um dia.
Os experimentos que você realiza também alteram o humor das cobaias. Uma cobaia sob forte estresse pode tirar a própria vida ou provocar um evento de grandes proporções, com disparo do alarme.
A capacidade da ala de isolamento é limitada. Você pode aumentá-la com aprimoramentos comprados no fim do turno.
Qualquer personagem detido na ala de isolamento pode ser libertado ou eliminado. Para isso, selecione-o e pressione o botão correspondente.
Também é possível limpar a ala de isolamento por completo com o botão vermelho no canto inferior esquerdo da tela.","隔離病房是你進行實驗的地方，通過實驗推進你對異常的研究。一次實驗需要一天時間。
目前研究進度顯示在螢幕右下角的進度條上。
你對某類異常的研究進展越深入，解鎖可利用該異常解決危機的城市行動就越多。
不同實驗對各類異常的研究推進效率各不相同，只能依靠科學試錯來探明。
在某些情況下，大量同類型異常集中在一起，再加上特定實驗，可能導致不可預見的後果，觸發隔離病房的警報。
警報觸發後，隔離病房將封鎖一天，無法使用。
你所進行的實驗也會影響受試者的情緒。處於嚴重壓力下的受試者可能會自殺或引發大規模事件，觸發警報。
隔離病房容量有限，可以在輪班結束後購買升級來擴容。
隔離病房內的任何目標都可以釋放或處決。選中目標後按下對應按鈕即可。
你也可以點擊螢幕左下角紅色按鈕，清空整個隔離病房。",,"Izolatka służy do przeprowadzania doświadczeń, które zwiększają postęp badań nad anomaliami. Jedno doświadczenie trwa jeden dzień.
Aktualny postęp widać na paskach w prawym dolnym rogu ekranu.
Im dalej posunięte są badania nad daną anomalią, tym więcej operacji miejskich odblokujesz – takich, które wykorzystują tę anomalię do rozwiązania problemu.
Doświadczenia różnią się skutecznością w rozwijaniu badań nad poszczególnymi anomaliami. Jedynym sposobem, by to sprawdzić, jest naukowa metoda prób i błędów.
W niektórych przypadkach duże skupienie anomalii tego samego typu w połączeniu z określonym doświadczeniem prowadzi do nieprzewidzianych skutków, po których w izolatce ogłaszany jest alarm.
Jeśli zabrzmi alarm, izolatka będzie dla ciebie zamknięta na jeden dzień.
Przeprowadzane doświadczenia wpływają też na nastrój badanych. Badany w stanie silnego stresu może odebrać sobie życie albo wywołać zdarzenie na dużą skalę, które uruchomi alarm.
Pojemność izolatki jest ograniczona. Można ją zwiększyć za pomocą ulepszeń kupowanych na koniec zmiany.
Każdą postać przebywającą w izolatce można wypuścić albo wyeliminować. Wystarczy ją wybrać i nacisnąć odpowiedni przycisk.
Izolatkę można też całkowicie wyczyścić czerwonym przyciskiem w lewym dolnym rogu ekranu.","隔離病棟は異常現象に関する研究を進めるための実験を行う場所だ。 実験を行うのに一日かかる。
現在の進行は画面右下のバーによって表示される。
異常現象への研究が進むほど、問題を解決するためにその異常現象を利用した都市での作戦が行えるようになる。
実験がどれだけ研究に影響を及ぼすかはそれぞれの異常現象によって異なる。 試行錯誤を前提に進めていくほかに方法はない。
時折、同じタイプの異常現象が多く集まっている状態で特定の実験を行うと、隔離病棟での警報が鳴るような不測の事態が起こることもある。
警報が鳴ると、隔離病棟は一日使えなくなる。
行う実験は対象の精神状態に影響を与える。過度なストレスにさらされた対象は自害するか 警報を鳴らすような大規模な事象を起こすがある。
隔離病棟の大きさには限度がある。 シフトの終わりにアップグレードを購入することで拡張が可能だ。
隔離病棟に置かれているどのキャラクターも解放するか処刑するかを選べる。 それぞれを行うには、適宜そのためのボタンを押せばよい。
また、画面左下の赤いボタンを押すことで隔離病棟全体を「浄化」することができる。"
